ProductID,ProductName,Category,TotalRevenue,TotalQuantity,TransactionCount
PROD_00368,Focused executive strategy,Jewelry,2053724.8,6954,2643
PROD_00204,Operative static implementation,Clothing,2052892.9,6931,2641
PROD_00026,Focused zero administration frame,Pet Supplies,2051526.4,7084,2691
PROD_00401,Function-based fresh-thinking budgetary management,Toys & Games,2043436.8,6816,2595
PROD_00074,Configurable upward-trending matrix,Pet Supplies,2038752.5,6919,2669
PROD_00278,Fully-configurable dedicated adapter,Pet Supplies,2037648.4,6861,2651
PROD_00404,Persistent incremental application,Books & Media,2032970.5,6978,2647
PROD_00266,Assimilated attitude-oriented project,Health & Beauty,2032094.4,6895,2644
PROD_00500,Mandatory bifurcated Local Area Network,Jewelry,2016012.4,6894,2650
PROD_00185,Managed 4thgeneration budgetary management,Health & Beauty,2013971.2,6969,2651
PROD_00229,Enhanced tangible model,Health & Beauty,2000218.0,6803,2593
PROD_00095,Re-engineered methodical encryption,Jewelry,1997745.8,6980,2724
PROD_00183,Monitored secondary migration,Baby Products,1996510.9,6916,2638
PROD_00222,Persevering intangible product,Baby Products,1994042.9,6779,2613
PROD_00472,Organic grid-enabled parallelism,Jewelry,1986592.1,6802,2639
PROD_00235,Seamless uniform middleware,Furniture,1984384.2,6797,2585
PROD_00098,Optional heuristic interface,Food & Beverages,1979948.5,6732,2617
PROD_00435,Focused zero-defect installation,Sports & Outdoors,1979135.2,6807,2645
PROD_00058,Synergized national system engine,Electronics,1979037.8,6612,2538
PROD_00398,Horizontal stable initiative,Sports & Outdoors,1965416.5,6681,2566
PROD_00443,Persevering 24/7 success,Food & Beverages,1958939.4,6832,2632
PROD_00419,Future-proofed intangible matrices,Baby Products,1950289.4,6606,2544
PROD_00362,Extended empowering protocol,Food & Beverages,1947380.9,6843,2634
PROD_00450,Self-enabling transitional task-force,Furniture,1946174.2,7154,2715
PROD_00438,Multi-tiered human-resource protocol,Jewelry,1943980.6,6504,2527
PROD_00144,Triple-buffered exuding pricing structure,Electronics,1939999.6,6727,2616
PROD_00082,Integrated impactful secured line,Food & Beverages,1934126.5,6621,2570
PROD_00282,Persistent tangible extranet,Tools & Hardware,1931521.1,6925,2656
PROD_00426,Profit-focused encompassing ability,Baby Products,1929519.0,6724,2600
PROD_00200,Innovative motivating function,Sports & Outdoors,1922475.1,6746,2587
PROD_00054,Cloned human-resource implementation,Books & Media,1920178.1,6787,2589
PROD_00498,Future-proofed composite extranet,Office Supplies,1914199.4,6482,2518
PROD_00140,Extended motivating firmware,Toys & Games,1912693.4,6751,2598
PROD_00424,Grass-roots zero administration utilization,Electronics,1898874.1,6951,2682
PROD_00284,Robust real-time synergy,Office Supplies,1898773.1,6744,2606
PROD_00295,Balanced grid-enabled monitoring,Health & Beauty,1888160.2,6941,2670
PROD_00298,Mandatory 24/7 instruction set,Tools & Hardware,1883081.8,7141,2717
PROD_00014,Diverse tangible interface,Clothing,1881648.4,6609,2575
PROD_00285,Universal bifurcated time-frame,Food & Beverages,1879280.0,6760,2625
PROD_00374,Quality-focused directional project,Office Supplies,1876384.8,6947,2726
PROD_00042,Universal foreground data-warehouse,Home & Garden,1875946.9,6888,2647
PROD_00024,Re-engineered content-based strategy,Automotive,1873893.2,6498,2537
PROD_00413,Diverse fault-tolerant neural-net,Pet Supplies,1872816.9,7118,2687
PROD_00318,Pre-emptive next generation task-force,Jewelry,1870067.9,6670,2540
PROD_00090,Focused asymmetric alliance,Food & Beverages,1866206.4,6971,2691
PROD_00327,Reactive full-range help-desk,Clothing,1864777.2,6766,2614
PROD_00370,Compatible systemic emulation,Sports & Outdoors,1864069.8,6794,2649
PROD_00201,Synchronized incremental Graphic Interface,Tools & Hardware,1861509.2,6749,2614
PROD_00187,Fundamental 5thgeneration benchmark,Sports & Outdoors,1859814.4,6703,2600
PROD_00428,Reverse-engineered optimal protocol,Books & Media,1854936.2,6990,2708
PROD_00402,Visionary impactful migration,Sports & Outdoors,1841722.9,6704,2591
